state,county,population,white,all_workers,public_transit,bike,walked,all_female_marital,female_married,poverty_status_denominator,in_poverty,median_income,housing_units,housing_units_single_detached,housing_units_single_attached
01,001,55136,43011,24290,19,9,203,22595,12159,54712,7006,52475,22431,15908,246
01,003,191205,165673,82134,147,344,906,80279,43687,188636,25988,50183,105563,65719,1141
01,005,27119,12806,9108,9,11,119,10189,4542,24215,5832,35634,11833,7316,125
01,007,22653,17379,7773,39,0,56,8585,4615,21100,3596,37984,8985,5982,55
01,009,57645,54927,22168,76,0,200,23455,14224,57083,9866,44409,23868,17156,159
01,011,10693,2803,3810,36,0,183,4087,1350,10153,2085,34804,4469,2565,33
01,013,20523,11204,7661,0,0,72,9025,3781,20208,5239,31571,9934,6205,77
01,015,117186,88125,45348,117,48,617,50096,24310,114171,24794,40919,53306,37964,668
01,017,34091,19771,13086,11,0,62,14852,6845,33653,8051,32835,16944,11792,102
01,019,26042,24207,10177,10,0,62,11012,7047,25554,5370,34983,16254,10470,139
01,021,43781,37018,17433,27,4,197,17747,10081,43290,8128,41785,19246,12185,204
01,023,13546,7558,4560,3,3,67,5939,2854,13360,2867,34325,7248,4802,9
01,025,25331,13613,8204,10,0,95,10984,5045,25008,6757,30951,12604,8214,91
01,027,13617,11150,4946,43,0,78,5792,3205,13296,2481,35286,6756,4207,37
01,029,14990,14095,5711,6,0,62,6129,3313,14828,2691,37008,6698,4397,0
01,031,50726,39064,21112,13,11,203,20829,10521,50064,9403,45558,22648,15807,838
01,033,54491,43356,20838,48,0,252,23514,12088,53978,9860,39914,25971,20105,174
01,035,12985,6778,3517,0,0,7,5550,2522,12928,4256,24433,7066,4313,28
01,037,11247,7549,3735,28,0,7,4650,2319,10953,2190,32340,6478,4152,9
01,039,37881,32025,14446,25,26,222,16209,8442,37232,7479,36256,18803,14199,54
01,041,13938,10007,5549,0,0,60,5837,2814,13729,2358,37349,6718,4240,40
01,043,80668,77079,31847,26,13,489,33355,19316,79581,14354,39415,37084,26076,341
01,045,50013,37509,21211,33,14,480,20507,10714,48674,9114,44473,22793,14764,824
01,047,42743,12318,13513,31,46,334,18467,5777,42234,15163,26494,20216,12232,213
01,049,71074,62960,27185,6,23,163,28661,16303,70247,14128,37977,31043,21508,142
01,051,80321,60602,33370,68,23,199,33603,18379,74949,9700,54159,32985,24012,433
01,053,38042,23633,12307,67,0,171,14845,7161,35742,9309,31422,16431,11119,78
01,055,104126,84904,39201,124,6,141,44491,22846,102374,20059,38467,47507,36053,334
01,057,17019,14663,5944,1,0,32,7180,3627,16766,3492,33144,8415,5803,53
01,059,31663,28420,12329,24,0,23,12878,6453,31305,7601,35450,14038,9828,96
01,061,26816,23215,10645,5,3,141,11348,6028,26437,5983,36268,12666,8188,182
01,063,8798,1559,2432,59,0,88,3839,1320,8750,3204,22170,4991,2480,36
01,065,15393,6133,5117,2,19,18,6658,2760,15093,4213,30839,7646,4513,51
01,067,17270,12050,6419,27,0,56,7541,4101,17057,2526,42926,8934,6091,145
