STATE,STATE_FIPS,COUNTY,FIPS,OBAMA,ROMNEY,OTHERS,TTL_VT,PCT_OBM,PCT_ROM,PCT_OTHR,WINNER,PCT_WNR,group
AL,01,Autauga,01001,6363.0,17379.0,231.0,23973.0,26.54236,72.494056,0.963584,Romney,72.494056,24
AL,01,Barbour,01005,5912.0,5550.0,55.0,11517.0,51.332812,48.189633,0.477555,Obama,51.332812,12
AL,01,Bibb,01007,2202.0,6132.0,86.0,8420.0,26.152019,72.826603,1.021378,Romney,72.826603,24
AL,01,Blount,01009,2970.0,20757.0,333.0,24060.0,12.34414,86.27182,1.38404,Romney,86.27182,25
AL,01,Bullock,01011,4061.0,1251.0,10.0,5322.0,76.3059,23.506201,0.187899,Obama,76.3059,14
AL,01,Butler,01013,4374.0,5087.0,41.0,9502.0,46.032414,53.536098,0.431488,Romney,53.536098,22
AL,01,Chambers,01017,6871.0,7626.0,132.0,14629.0,46.968351,52.129332,0.902317,Romney,52.129332,22
AL,01,Cherokee,01019,2132.0,7506.0,154.0,9792.0,21.772876,76.654412,1.572712,Romney,76.654412,24
AL,01,Chilton,01021,3397.0,13932.0,156.0,17485.0,19.428081,79.679725,0.892193,Romney,79.679725,24
AL,01,Choctaw,01023,3786.0,4152.0,38.0,7976.0,47.467402,52.056169,0.476429,Romney,52.056169,22
AL,01,Clarke,01025,6334.0,7470.0,56.0,13860.0,45.699856,53.896104,0.40404,Romney,53.896104,22
AL,01,Clay,01027,1777.0,4817.0,85.0,6679.0,26.605779,72.121575,1.272646,Romney,72.121575,24
AL,01,Cleburne,01029,971.0,5272.0,76.0,6319.0,15.366355,83.430923,1.202722,Romney,83.430923,25
AL,01,Coffee,01031,4925.0,14666.0,230.0,19821.0,24.847384,73.99223,1.160385,Romney,73.99223,24
AL,01,Colbert,01033,9166.0,13936.0,342.0,23444.0,39.097424,59.443781,1.458795,Romney,59.443781,22
AL,01,Conecuh,01035,3555.0,3439.0,31.0,7025.0,50.604982,48.953737,0.441281,Obama,50.604982,12
AL,01,Coosa,01037,2191.0,3049.0,42.0,5282.0,41.4805,57.724347,0.795153,Romney,57.724347,22
AL,01,Covington,01039,3158.0,12153.0,128.0,15439.0,20.454693,78.716238,0.829069,Romney,78.716238,24
AL,01,Crenshaw,01041,2050.0,4331.0,43.0,6424.0,31.911582,67.419054,0.669365,Romney,67.419054,23
AL,01,Cullman,01043,5052.0,28999.0,504.0,34555.0,14.620171,83.921285,1.458544,Romney,83.921285,25
AL,01,Dale,01045,5286.0,13108.0,207.0,18601.0,28.417827,70.46933,1.112843,Romney,70.46933,24
AL,01,Dallas,01047,14612.0,6288.0,64.0,20964.0,69.700439,29.994276,0.305285,Obama,69.700439,13
AL,01,DeKalb,01049,5239.0,18331.0,380.0,23950.0,21.874739,76.538622,1.586639,Romney,76.538622,24
AL,01,Elmore,01051,8954.0,26253.0,339.0,35546.0,25.189895,73.856411,0.953694,Romney,73.856411,24
AL,01,Escambia,01053,5489.0,9287.0,118.0,14894.0,36.853767,62.353968,0.792265,Romney,62.353968,23
AL,01,Etowah,01055,12803.0,29130.0,691.0,42624.0,30.037068,68.341779,1.621152,Romney,68.341779,23
AL,01,Fayette,01057,1817.0,6054.0,87.0,7958.0,22.83237,76.074391,1.09324,Romney,76.074391,24
AL,01,Franklin,01059,3171.0,7567.0,143.0,10881.0,29.142542,69.543241,1.314217,Romney,69.543241,23
AL,01,Geneva,01061,2039.0,9175.0,117.0,11331.0,17.994881,80.972553,1.032566,Romney,80.972553,25
AL,01,Greene,01063,4521.0,804.0,18.0,5343.0,84.615385,15.047726,0.336889,Obama,84.615385,15
AL,01,Hale,01065,5411.0,3210.0,26.0,8647.0,62.576616,37.122702,0.300682,Obama,62.576616,13
AL,01,Henry,01067,3083.0,5628.0,55.0,8766.0,35.169975,64.202601,0.627424,Romney,64.202601,23
AL,01,Houston,01069,12367.0,29270.0,347.0,41984.0,29.45646,69.717035,0.826505,Romney,69.717035,23
AL,01,Jackson,01071,5822.0,14439.0,371.0,20632.0,28.218302,69.983521,1.798178,Romney,69.983521,24
AL,01,Jefferson,01073,159876.0,141683.0,2964.0,304523.0,52.500468,46.526207,0.973325,Obama,52.500468,12
AL,01,Lamar,01075,1646.0,5457.0,73.0,7176.0,22.93757,76.045151,1.01728,Romney,76.045151,24
